id,GEO_ID,Geographic Area Name,Under18Yrs
0500000US37001,37001,"Alamance County, North Carolina",36139
0500000US37003,37003,"Alexander County, North Carolina",7445
0500000US37005,37005,"Alleghany County, North Carolina",1918
0500000US37007,37007,"Anson County, North Carolina",4790
0500000US37009,37009,"Ashe County, North Carolina",4742
0500000US37011,37011,"Avery County, North Carolina",2490
0500000US37013,37013,"Beaufort County, North Carolina",9432
0500000US37015,37015,"Bertie County, North Carolina",3340
0500000US37017,37017,"Bladen County, North Carolina",6744
0500000US37019,37019,"Brunswick County, North Carolina",20491
0500000US37021,37021,"Buncombe County, North Carolina",47204
0500000US37023,37023,"Burke County, North Carolina",16448
0500000US37025,37025,"Cabarrus County, North Carolina",52597
0500000US37027,37027,"Caldwell County, North Carolina",16292
0500000US37029,37029,"Camden County, North Carolina",2393
0500000US37031,37031,"Carteret County, North Carolina",11921
0500000US37033,37033,"Caswell County, North Carolina",4256
0500000US37035,37035,"Catawba County, North Carolina",34696
0500000US37037,37037,"Chatham County, North Carolina",14411
0500000US37039,37039,"Cherokee County, North Carolina",4667
0500000US37041,37041,"Chowan County, North Carolina",2856
0500000US37043,37043,"Clay County, North Carolina",1909
0500000US37045,37045,"Cleveland County, North Carolina",20841
0500000US37047,37047,"Columbus County, North Carolina",11687
0500000US37049,37049,"Craven County, North Carolina",21657
0500000US37051,37051,"Cumberland County, North Carolina",80901
0500000US37053,37053,"Currituck County, North Carolina",5780
0500000US37055,37055,"Dare County, North Carolina",6858
0500000US37057,37057,"Davidson County, North Carolina",35763
0500000US37059,37059,"Davie County, North Carolina",8993
0500000US37061,37061,"Duplin County, North Carolina",14029
0500000US37063,37063,"Durham County, North Carolina",65032
0500000US37065,37065,"Edgecombe County, North Carolina",11791
0500000US37067,37067,"Forsyth County, North Carolina",86356
0500000US37069,37069,"Franklin County, North Carolina",14554
0500000US37071,37071,"Gaston County, North Carolina",48979
0500000US37073,37073,"Gates County, North Carolina",2339
0500000US37075,37075,"Graham County, North Carolina",1722
0500000US37077,37077,"Granville County, North Carolina",11939
0500000US37079,37079,"Greene County, North Carolina",4247
0500000US37081,37081,"Guilford County, North Carolina",116666
0500000US37083,37083,"Halifax County, North Carolina",10925
0500000US37085,37085,"Harnett County, North Carolina",34377
0500000US37087,37087,"Haywood County, North Carolina",10743
0500000US37089,37089,"Henderson County, North Carolina",21722
0500000US37091,37091,"Hertford County, North Carolina",4537
0500000US37093,37093,"Hoke County, North Carolina",14376
0500000US37095,37095,"Hyde County, North Carolina",1091
0500000US37097,37097,"Iredell County, North Carolina",39843
0500000US37099,37099,"Jackson County, North Carolina",7014
0500000US37101,37101,"Johnston County, North Carolina",49848
0500000US37103,37103,"Jones County, North Carolina",1788
0500000US37105,37105,"Lee County, North Carolina",14492
0500000US37107,37107,"Lenoir County, North Carolina",12131
0500000US37109,37109,"Lincoln County, North Carolina",17525
0500000US37111,37111,"McDowell County, North Carolina",9044
0500000US37113,37113,"Macon County, North Carolina",6281
0500000US37115,37115,"Madison County, North Carolina",3810
0500000US37117,37117,"Martin County, North Carolina",4558
0500000US37119,37119,"Mecklenburg County, North Carolina",253680
0500000US37121,37121,"Mitchell County, North Carolina",2680
0500000US37123,37123,"Montgomery County, North Carolina",5978
0500000US37125,37125,"Moore County, North Carolina",20468
0500000US37127,37127,"Nash County, North Carolina",20628
0500000US37129,37129,"New Hanover County, North Carolina",42183
0500000US37131,37131,"Northampton County, North Carolina",3491
0500000US37133,37133,"Onslow County, North Carolina",46854
0500000US37135,37135,"Orange County, North Carolina",28206
0500000US37137,37137,"Pamlico County, North Carolina",1927
0500000US37139,37139,"Pasquotank County, North Carolina",8599
0500000US37141,37141,"Pender County, North Carolina",13197
0500000US37143,37143,"Perquimans County, North Carolina",2438
0500000US37145,37145,"Person County, North Carolina",8151
0500000US37147,37147,"Pitt County, North Carolina",37669
0500000US37149,37149,"Polk County, North Carolina",3335
0500000US37151,37151,"Randolph County, North Carolina",32082
0500000US37153,37153,"Richmond County, North Carolina",10035
0500000US37155,37155,"Robeson County, North Carolina",32923
0500000US37157,37157,"Rockingham County, North Carolina",18297
0500000US37159,37159,"Rowan County, North Carolina",30889
0500000US37161,37161,"Rutherford County, North Carolina",13447
0500000US37163,37163,"Sampson County, North Carolina",15322
0500000US37165,37165,"Scotland County, North Carolina",7945
0500000US37167,37167,"Stanly County, North Carolina",13269
0500000US37169,37169,"Stokes County, North Carolina",8731
0500000US37171,37171,"Surry County, North Carolina",15086
0500000US37173,37173,"Swain County, North Carolina",3246
0500000US37175,37175,"Transylvania County, North Carolina",5330
0500000US37177,37177,"Tyrrell County, North Carolina",543
0500000US37179,37179,"Union County, North Carolina",61960
0500000US37181,37181,"Vance County, North Carolina",10387
0500000US37183,37183,"Wake County, North Carolina",255858
0500000US37185,37185,"Warren County, North Carolina",3574
0500000US37187,37187,"Washington County, North Carolina",2334
0500000US37189,37189,"Watauga County, North Carolina",6958
0500000US37191,37191,"Wayne County, North Carolina",28808
0500000US37193,37193,"Wilkes County, North Carolina",13789
0500000US37195,37195,"Wilson County, North Carolina",18521
0500000US37197,37197,"Yadkin County, North Carolina",7881
0500000US37199,37199,"Yancey County, North Carolina",3279
