GEOID,County Name,Population Total,EducationExp,DebtServExp,HumanSvcExp,GenGovExp,PubSafeExp,OtherExp,TotalExp,EducByPop,DebtByPop,HumanByPop,GenGovByPop,PubSafeByPop,OtherByPop,TotalByPop
37001,Alamance County,168761,56175956,9072162,31676933,19641186,48444825,12247883,177258945,333,54,188,116,287,73,1050
37003,Alexander County,38364,9238718,1631031,9168292,6350705,13734182,6127775,46250703,241,43,239,166,358,160,1206
37005,Alleghany County,11494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37007,Anson County,23944,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37009,Ashe County,27797,7956750,2051717,9646888,5287444,8339619,7063005,40345423,286,74,347,190,300,254,1451
37011,Avery County,18128,12994942,1029786,5097816,4054347,11514323,4741266,39432480,717,57,281,224,635,262,2175
37013,Beaufort County,47436,18839953,5587666,15284775,5958871,19298029,9764247,74733541,397,118,322,126,407,206,1575
37015,Bertie County,19630,3680568,3551034,4550973,3726095,9444106,6064133,31016909,187,181,232,190,481,309,1580
37017,Bladen County,34475,9628686,4210968,10746045,6172031,15040698,6310977,52109405,279,122,312,179,436,183,1512
37019,Brunswick County,143169,75140181,35538883,25639275,31595899,50925709,62120596,280960543,525,248,179,221,356,434,1962
37021,Buncombe County,262659,123822478,51733731,84787553,39898342,111089135,55829610,467160849,471,197,323,152,423,213,1779
37023,Burke County,91660,23065093,8410342,20768577,10363153,32625416,17871782,113104363,252,92,227,113,356,195,1234
37025,Cabarrus County,213290,129247084,50708701,38296835,29740099,62517243,20327591,330837553,606,238,180,139,293,95,1551
37027,Caldwell County,83811,27823687,5657645,18840700,7555281,28280039,17214489,105371841,332,68,225,90,337,205,1257
37029,Camden County,10559,3005878,1363350,1315652,2295808,4922217,4264056,17166961,285,129,125,217,466,404,1626
37031,Carteret County,70986,32392870,5698842,16057779,8835351,23889544,51975010,138849396,456,80,226,124,337,732,1956
37033,Caswell County,23443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37035,Catawba County,159621,58197752,20613092,43255987,21177269,66348630,33515285,243108015,365,129,271,133,416,210,1523
37037,Chatham County,75705,92422726,16593561,16750285,13876582,37671037,16892657,194206848,1221,219,221,183,498,223,2565
37039,Cherokee County,29392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37041,Chowan County,14141,4379628,2435861,3833871,2722881,4408212,7081276,24861729,310,172,271,193,312,501,1758
37043,Clay County,11650,10665629,2062050,4846627,3143747,5750377,4020198,30488628,916,177,416,270,494,345,2617
37045,Cleveland County,100071,32346313,7569081,33735619,17160979,34925194,25120732,150857918,323,76,337,171,349,251,1508
37047,Columbus County,56247,18313351,2480636,17183355,7822812,19734132,14080608,79614894,326,44,305,139,351,250,1415
37049,Craven County,102989,28571621,7625731,29432882,14538888,22268324,25673251,128110697,277,74,286,141,216,249,1244
37051,Cumberland County,332392,107300600,27173864,92846624,29162761,69308765,45990423,371783037,323,82,279,88,209,138,1119
37053,Currituck County,27677,13081538,4902562,4141295,7824640,32275788,28845005,91070828,473,177,150,283,1166,1042,3290
37055,Dare County,37599,27154559,26069721,17898697,12785279,37971748,32322340,154202344,722,693,476,340,1010,860,4101
37057,Davidson County,169208,42905159,13038975,28687011,15259508,59860393,16599838,176350884,254,77,170,90,354,98,1042
37059,Davie County,43227,14957215,8716804,10473210,15157442,17251113,10092153,76647937,346,202,242,351,399,233,1773
37061,Duplin County,60048,12347971,6239563,13951245,7731291,22639671,21048082,83957823,206,104,232,129,377,351,1398
37063,Durham County,316934,182372967,63598941,91434044,67581435,87185187,54303582,546476156,575,201,288,213,275,171,1724
37065,Edgecombe County,52394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37067,Forsyth County,378469,189510248,70513105,66892224,39752376,95132734,47995556,509796243,501,186,177,105,251,127,1347
37069,Franklin County,70157,28736587,9914086,17332944,6289150,29781819,19088889,111143475,410,141,247,90,425,272,1584
